primary_title,runtime_minutes,genres,averagerating,numvotes,production_budget,worldwide_gross,year,ROI
The Lazarus Effect,83,Mystery,5.2,37675,5000000,38359310,2015,667
The Lazarus Effect,83,Sci-Fi,5.2,37675,5000000,38359310,2015,667
Jurassic World,124,Action,7.0,539338,215000000,1648854864,2015,667
Jurassic World,124,Adventure,7.0,539338,215000000,1648854864,2015,667
Jurassic World,124,Sci-Fi,7.0,539338,215000000,1648854864,2015,667
The Lego Movie,100,Action,7.8,304179,60000000,457729388,2014,663
The Lego Movie,100,Adventure,7.8,304179,60000000,457729388,2014,663
The Lego Movie,100,Animation,7.8,304179,60000000,457729388,2014,663
Justin Bieber: Never Say Never,105,Documentary,1.6,74978,13000000,99034125,2011,662
Justin Bieber: Never Say Never,105,Music,1.6,74978,13000000,99034125,2011,662
Don Jon,90,Comedy,6.6,216350,5500000,41268579,2013,650
Don Jon,90,Drama,6.6,216350,5500000,41268579,2013,650
Don Jon,90,Romance,6.6,216350,5500000,41268579,2013,650
About Time,123,Comedy,7.8,263136,12000000,89309178,2013,644
About Time,123,Drama,7.8,263136,12000000,89309178,2013,644
About Time,123,Fantasy,7.8,263136,12000000,89309178,2013,644
Sausage Party,89,Adventure,6.2,159111,19000000,141344255,2016,644
Sausage Party,89,Animation,6.2,159111,19000000,141344255,2016,644
Sausage Party,89,Comedy,6.2,159111,19000000,141344255,2016,644
Venom,112,Action,6.7,275406,116000000,853628605,2018,636
Venom,112,Sci-Fi,6.7,275406,116000000,853628605,2018,636
Venom,112,Thriller,6.7,275406,116000000,853628605,2018,636
The Hangover Part II,102,Comedy,6.5,432800,80000000,586464305,2011,633
The Hangover Part II,102,Mystery,6.5,432800,80000000,586464305,2011,633
We're the Millers,110,Comedy,7.0,371759,37000000,267816276,2013,624
We're the Millers,110,Crime,7.0,371759,37000000,267816276,2013,624
Straight Outta Compton,147,Biography,7.9,165307,28000000,202182981,2015,622
Straight Outta Compton,147,Drama,7.9,165307,28000000,202182981,2015,622
Straight Outta Compton,147,History,7.9,165307,28000000,202182981,2015,622
True Grit,110,Adventure,7.6,284034,35000000,252276928,2010,621
True Grit,110,Drama,7.6,284034,35000000,252276928,2010,621
True Grit,110,Western,7.6,284034,35000000,252276928,2010,621
Aquaman,143,Action,7.1,263328,160000000,1146894640,2018,617
Aquaman,143,Adventure,7.1,263328,160000000,1146894640,2018,617
Aquaman,143,Fantasy,7.1,263328,160000000,1146894640,2018,617
Eighth Grade,93,Comedy,7.5,43256,2000000,14341016,2018,617
Eighth Grade,93,Drama,7.5,43256,2000000,14341016,2018,617
Deadpool 2,119,Action,7.8,391735,110000000,786680557,2018,615
