primary_title,runtime_minutes,genres,production_budget,worldwide_gross,year,ROI
Justice League,120,Fantasy,300000000,655945209,2017,119
Cars 3,102,Adventure,175000000,383541369,2017,119
Cars 3,102,Animation,175000000,383541369,2017,119
Cars 3,102,Comedy,175000000,383541369,2017,119
Jack Ryan: Shadow Recruit,105,Action,60000000,131377412,2014,119
Jack Ryan: Shadow Recruit,105,Drama,60000000,131377412,2014,119
Jack Ryan: Shadow Recruit,105,Thriller,60000000,131377412,2014,119
Max,111,Adventure,20000000,43658157,2015,118
Max,111,Drama,20000000,43658157,2015,118
Max,111,Family,20000000,43658157,2015,118
Hanna,111,Action,30000000,65343694,2011,118
Hanna,111,Drama,30000000,65343694,2011,118
Hanna,111,Thriller,30000000,65343694,2011,118
Red Riding Hood,100,Fantasy,42000000,91678442,2011,118
Red Riding Hood,100,Horror,42000000,91678442,2011,118
Red Riding Hood,100,Mystery,42000000,91678442,2011,118
The Lincoln Lawyer,118,Crime,40000000,87145086,2011,118
The Lincoln Lawyer,118,Drama,40000000,87145086,2011,118
The Lincoln Lawyer,118,Thriller,40000000,87145086,2011,118
Madea's Big Happy Family,106,Comedy,25000000,54160818,2011,117
Madea's Big Happy Family,106,Drama,25000000,54160818,2011,117
2 Guns,109,Action,61000000,132493015,2013,117
2 Guns,109,Comedy,61000000,132493015,2013,117
2 Guns,109,Crime,61000000,132493015,2013,117
Hereafter,129,Drama,50000000,108660270,2010,117
Hereafter,129,Fantasy,50000000,108660270,2010,117
Hereafter,129,Romance,50000000,108660270,2010,117
A Street Cat Named Bob,103,Biography,8000000,17382693,2016,117
A Street Cat Named Bob,103,Comedy,8000000,17382693,2016,117
A Street Cat Named Bob,103,Drama,8000000,17382693,2016,117
Sicario: Day of the Soldado,122,Action,35000000,75885196,2018,117
Sicario: Day of the Soldado,122,Crime,35000000,75885196,2018,117
Sicario: Day of the Soldado,122,Drama,35000000,75885196,2018,117
Top Five,102,Comedy,12000000,26001741,2014,117
Top Five,102,Romance,12000000,26001741,2014,117
Pacific Rim,131,Action,190000000,411002906,2013,116
Pacific Rim,131,Adventure,190000000,411002906,2013,116
Pacific Rim,131,Sci-Fi,190000000,411002906,2013,116
Annie,118,Comedy,65000000,139829625,2014,115
Annie,118,Drama,65000000,139829625,2014,115
Annie,118,Family,65000000,139829625,2014,115
Paterson,118,Comedy,5000000,10727536,2016,115
Paterson,118,Drama,5000000,10727536,2016,115
Paterson,118,Romance,5000000,10727536,2016,115
The Back-up Plan,104,Comedy,35000000,75281179,2010,115
The Back-up Plan,104,Romance,35000000,75281179,2010,115
Chappie,120,Action,49000000,105002056,2015,114
Chappie,120,Crime,49000000,105002056,2015,114
Chappie,120,Drama,49000000,105002056,2015,114
Zookeeper,102,Comedy,80000000,170805525,2011,114
Zookeeper,102,Family,80000000,170805525,2011,114
Zookeeper,102,Romance,80000000,170805525,2011,114
The Last Airbender,103,Action,150000000,319713881,2010,113
The Last Airbender,103,Adventure,150000000,319713881,2010,113
The Last Airbender,103,Family,150000000,319713881,2010,113
Turbo,96,Adventure,135000000,286896578,2013,113
Turbo,96,Animation,135000000,286896578,2013,113
Turbo,96,Comedy,135000000,286896578,2013,113
Rise of the Guardians,97,Action,145000000,306900902,2012,112
Rise of the Guardians,97,Adventure,145000000,306900902,2012,112
Rise of the Guardians,97,Animation,145000000,306900902,2012,112
The Edge of Seventeen,104,Comedy,9000000,19096003,2016,112
The Edge of Seventeen,104,Drama,9000000,19096003,2016,112
Red Sparrow,140,Action,69000000,145951861,2018,112
Red Sparrow,140,Drama,69000000,145951861,2018,112
Red Sparrow,140,Thriller,69000000,145951861,2018,112
The Night Before,101,Adventure,25000000,52427346,2015,110
The Night Before,101,Comedy,25000000,52427346,2015,110
The Night Before,101,Fantasy,25000000,52427346,2015,110
The Mummy,110,Action,195000000,409953905,2017,110
The Mummy,110,Adventure,195000000,409953905,2017,110
The Mummy,110,Fantasy,195000000,409953905,2017,110
The Night Before,86,Documentary,25000000,52427346,2015,110
The Expendables 3,126,Action,100000000,209461378,2014,109
The Expendables 3,126,Adventure,100000000,209461378,2014,109
The Expendables 3,126,Thriller,100000000,209461378,2014,109
Beyond the Lights,116,Drama,7000000,14618727,2014,109
Beyond the Lights,116,Music,7000000,14618727,2014,109
Beyond the Lights,116,Romance,7000000,14618727,2014,109
Lawless,116,Crime,26000000,54393687,2012,109
Lawless,116,Drama,26000000,54393687,2012,109
Edge of Tomorrow,113,Action,178000000,370541256,2014,108
Edge of Tomorrow,113,Sci-Fi,178000000,370541256,2014,108
The Green Hornet,119,Action,110000000,229155503,2011,108
The Green Hornet,119,Comedy,110000000,229155503,2011,108
The Green Hornet,119,Crime,110000000,229155503,2011,108
Frankenweenie,87,Animation,39000000,81150788,2012,108
Frankenweenie,87,Comedy,39000000,81150788,2012,108
Frankenweenie,87,Family,39000000,81150788,2012,108
Peppermint,101,Action,25000000,51800758,2018,107
Peppermint,101,Crime,25000000,51800758,2018,107
Peppermint,101,Drama,25000000,51800758,2018,107
Gulliver's Travels,85,Adventure,112000000,232017848,2010,107
Gulliver's Travels,85,Comedy,112000000,232017848,2010,107
Gulliver's Travels,85,Family,112000000,232017848,2010,107
Nebraska,115,Adventure,12000000,24761360,2013,106
Nebraska,115,Comedy,12000000,24761360,2013,106
Nebraska,115,Drama,12000000,24761360,2013,106
The Secret Life of Walter Mitty,114,Adventure,91000000,187861183,2013,106
The Secret Life of Walter Mitty,114,Comedy,91000000,187861183,2013,106
The Secret Life of Walter Mitty,114,Drama,91000000,187861183,2013,106
The Five-Year Engagement,124,Comedy,30000000,61623819,2012,105
The Five-Year Engagement,124,Romance,30000000,61623819,2012,105
Larry Crowne,98,Comedy,30000000,61449135,2011,105
Larry Crowne,98,Drama,30000000,61449135,2011,105
Larry Crowne,98,Romance,30000000,61449135,2011,105
Mirror Mirror,106,Adventure,85000000,173613482,2012,104
Mirror Mirror,106,Comedy,85000000,173613482,2012,104
Mirror Mirror,106,Drama,85000000,173613482,2012,104
Wrath of the Titans,99,Action,150000000,305270083,2012,104
Wrath of the Titans,99,Adventure,150000000,305270083,2012,104
Wrath of the Titans,99,Fantasy,150000000,305270083,2012,104
Abraham Lincoln: Vampire Hunter,105,Action,67500000,137489730,2012,104
Abraham Lincoln: Vampire Hunter,105,Fantasy,67500000,137489730,2012,104
Abraham Lincoln: Vampire Hunter,105,Horror,67500000,137489730,2012,104
The Perfect Match,96,Comedy,5000000,10182050,2016,104
The Perfect Match,96,Romance,5000000,10182050,2016,104
12 Strong,130,Action,35000000,71118378,2018,103
12 Strong,130,Drama,35000000,71118378,2018,103
12 Strong,130,History,35000000,71118378,2018,103
Dumbo,112,Adventure,170000000,345004422,2019,103
Dumbo,112,Family,170000000,345004422,2019,103
Dumbo,112,Fantasy,170000000,345004422,2019,103
Office Christmas Party,105,Comedy,45000000,91323299,2016,103
August: Osage County,121,Comedy,25000000,50738810,2013,103
August: Osage County,121,Drama,25000000,50738810,2013,103
Runner Runner,88,Crime,30000000,60512680,2013,102
Runner Runner,88,Thriller,30000000,60512680,2013,102
RoboCop,117,Action,120000000,242981799,2014,102
RoboCop,117,Crime,120000000,242981799,2014,102
RoboCop,117,Sci-Fi,120000000,242981799,2014,102
Free Birds,91,Adventure,55000000,110387072,2013,101
Free Birds,91,Animation,55000000,110387072,2013,101
Free Birds,91,Comedy,55000000,110387072,2013,101
When the Game Stands Tall,115,Drama,15000000,30138912,2014,101
When the Game Stands Tall,115,Family,15000000,30138912,2014,101
When the Game Stands Tall,115,Sport,15000000,30138912,2014,101
The Book of Eli,118,Action,80000000,158750817,2010,98
The Book of Eli,118,Adventure,80000000,158750817,2010,98
The Book of Eli,118,Drama,80000000,158750817,2010,98
Monte Carlo,109,Adventure,20000000,39686769,2011,98
Monte Carlo,109,Comedy,20000000,39686769,2011,98
Monte Carlo,109,Family,20000000,39686769,2011,98
Robot & Frank,89,Comedy,2500000,4934356,2012,97
Robot & Frank,89,Crime,2500000,4934356,2012,97
Robot & Frank,89,Drama,2500000,4934356,2012,97
Made in Dagenham,113,Biography,8000000,15644196,2010,96
Made in Dagenham,113,Comedy,8000000,15644196,2010,96
Made in Dagenham,113,Drama,8000000,15644196,2010,96
Wish Upon,90,Drama,12000000,23477345,2017,96
Wish Upon,90,Fantasy,12000000,23477345,2017,96
Wish Upon,90,Horror,12000000,23477345,2017,96
Alpha,96,Adventure,51000000,99624873,2018,95
Alpha,96,Drama,51000000,99624873,2018,95
Alpha,96,Family,51000000,99624873,2018,95
Swiss Army Man,97,Adventure,3000000,5837111,2016,95
Swiss Army Man,97,Comedy,3000000,5837111,2016,95
Swiss Army Man,97,Drama,3000000,5837111,2016,95
The Book of Life,95,Adventure,50000000,97651543,2014,95
The Book of Life,95,Animation,50000000,97651543,2014,95
The Book of Life,95,Comedy,50000000,97651543,2014,95
Glee: The 3D Concert Movie,84,Documentary,9000000,17462398,2011,94
Glee: The 3D Concert Movie,84,Music,9000000,17462398,2011,94
The Legend of Tarzan,110,Action,180000000,348902025,2016,94
The Legend of Tarzan,110,Adventure,180000000,348902025,2016,94
The Legend of Tarzan,110,Drama,180000000,348902025,2016,94
After Earth,100,Action,130000000,251499665,2013,93
After Earth,100,Adventure,130000000,251499665,2013,93
