primary_title,runtime_minutes,genres,production_budget,worldwide_gross,year,ROI
Jackass 3D,95,"Action,Comedy,Documentary",20000000,171685793,2010,758
Breaking In,88,"Action,Crime,Drama",6000000,51411620,2018,757
No Escape,103,"Action,Thriller",5000000,42844516,2015,757
Magic Mike XXL,115,"Comedy,Drama,Music",14500000,123660597,2015,753
The Help,146,Drama,25000000,213120004,2011,752
Frozen,102,"Adventure,Animation,Comedy",150000000,1272469910,2013,748
Tiny Furniture,98,"Comedy,Drama,Romance",50000,424149,2010,748
The Hunger Games,142,"Action,Adventure,Sci-Fi",80000000,677923379,2012,747
Sing,108,"Animation,Comedy,Family",75000000,634454789,2016,746
Taken 2,92,"Action,Thriller",45000000,377807404,2012,740
"As Above, So Below",93,"Adventure,Horror,Mystery",5000000,41824066,2014,736
Weekend,97,"Drama,Romance",190000,1577585,2011,730
Weekend,80,"Comedy,Drama",190000,1577585,2011,730
Weekend,121,"Action,Comedy,Crime",190000,1577585,2011,730
Philomena,98,"Biography,Comedy,Drama",12000000,98963392,2013,725
The Theory of Everything,123,"Biography,Drama,Romance",15000000,123327692,2014,722
Hotel Transylvania 3: Summer Vacation,97,"Adventure,Animation,Comedy",65000000,527079962,2018,711
Winter's Bone,100,"Drama,Mystery",2000000,16131551,2010,707
The Artist,100,"Comedy,Drama,Romance",16000000,128256712,2011,702
The Artist,100,Thriller,16000000,128256712,2011,702
Furious 7,137,"Action,Crime,Thriller",190000000,1518722794,2015,699
Crazy Rich Asians,120,"Comedy,Romance",30000000,238099711,2018,694
Dark Skies,97,"Horror,Sci-Fi,Thriller",3500000,27704111,2013,692
Despicable Me,95,"Animation,Comedy,Family",69000000,543464573,2010,688
Beauty and the Beast,129,"Family,Fantasy,Musical",160000000,1259199706,2017,687
Lady Bird,94,"Comedy,Drama",10000000,78610769,2017,686
Paranormal Activity: The Ghost Dimension,88,"Horror,Mystery,Thriller",10000000,77959374,2015,680
Before Midnight,109,"Drama,Romance",3000000,23251930,2013,675
Jurassic World: Fallen Kingdom,128,"Action,Adventure,Sci-Fi",170000000,1305772799,2018,668
The Lazarus Effect,83,"Horror,Mystery,Sci-Fi",5000000,38359310,2015,667
Jurassic World,124,"Action,Adventure,Sci-Fi",215000000,1648854864,2015,667
The Lego Movie,100,"Action,Adventure,Animation",60000000,457729388,2014,663
Justin Bieber: Never Say Never,105,"Documentary,Music",13000000,99034125,2011,662
Don Jon,90,"Comedy,Drama,Romance",5500000,41268579,2013,650
About Time,123,"Comedy,Drama,Fantasy",12000000,89309178,2013,644
Sausage Party,89,"Adventure,Animation,Comedy",19000000,141344255,2016,644
Venom,112,"Action,Sci-Fi,Thriller",116000000,853628605,2018,636
The Hangover Part II,102,"Comedy,Mystery",80000000,586464305,2011,633
We're the Millers,110,"Comedy,Crime",37000000,267816276,2013,624
Straight Outta Compton,147,"Biography,Drama,History",28000000,202182981,2015,622
True Grit,110,"Adventure,Drama,Western",35000000,252276928,2010,621
Aquaman,143,"Action,Adventure,Fantasy",160000000,1146894640,2018,617
Eighth Grade,93,"Comedy,Drama",2000000,14341016,2018,617
Deadpool 2,119,"Action,Adventure,Comedy",110000000,786680557,2018,615
Happy Death Day 2U,100,"Drama,Horror,Mystery",9000000,64179495,2019,613
The Possession of Hannah Grace,86,"Horror,Mystery,Thriller",6000000,42785387,2018,613
Paper Towns,109,"Comedy,Drama,Mystery",12000000,85450484,2015,612
If I Stay,107,"Drama,Fantasy,Music",11000000,78356170,2014,612
Overboard,112,"Comedy,Romance",12000000,85369830,2018,611
Hereditary,127,"Drama,Horror,Mystery",10000000,70133905,2018,601
Peter Rabbit,95,"Adventure,Animation,Comedy",50000000,347136477,2018,594
Fifty Shades Darker,118,"Drama,Romance",55000000,381398492,2017,593
Act of Valor,110,"Action,Adventure,Drama",12000000,82497035,2012,587
Pitch Perfect,112,"Comedy,Music,Romance",17000000,116044347,2012,583
Avengers: Infinity War,149,"Action,Adventure,Sci-Fi",300000000,2048134200,2018,583
Skyline,92,"Action,Sci-Fi,Thriller",10000000,68264973,2010,583
The Boy,97,"Horror,Mystery,Thriller",10000000,68220952,2016,582
Zootopia,108,"Adventure,Animation,Comedy",150000000,1019429616,2016,580
Fifty Shades Freed,105,"Drama,Romance,Thriller",55000000,371350619,2018,575
The Avengers,143,"Action,Adventure,Sci-Fi",225000000,1517935897,2012,575
Black Panther,134,"Action,Adventure,Sci-Fi",200000000,1348258224,2018,574
Baby Driver,113,"Action,Crime,Drama",34000000,228104185,2017,571
The Hunger Games: Catching Fire,146,"Action,Adventure,Sci-Fi",130000000,864868047,2013,565
Sultan,170,"Action,Drama,Sport",11000000,72989781,2016,564
22 Jump Street,112,"Action,Comedy,Crime",50000000,331333876,2014,563
That Awkward Moment,94,"Comedy,Romance",8000000,53068955,2014,563
The Vow,104,"Drama,Romance",30000000,197618160,2012,559
"Love, Simon",110,"Comedy,Drama,Romance",10000000,65520633,2018,555
American Hustle,138,"Crime,Drama",40000000,257878294,2013,545
Captain Marvel,123,"Action,Adventure,Sci-Fi",175000000,1123061550,2019,542
House at the End of the Street,101,"Drama,Horror,Thriller",6900000,44103982,2012,539
The Last Exorcism Part II,88,"Drama,Horror,Thriller",4000000,25448707,2013,536
Devil,80,"Horror,Mystery,Thriller",10000000,63354114,2010,534
Gravity,91,"Drama,Sci-Fi,Thriller",110000000,693698673,2013,531
Murder on the Orient Express,114,"Crime,Drama,Mystery",55000000,345922730,2017,529
The Favourite,119,"Biography,Drama,History",15000000,94113929,2018,527
How to Be a Latin Lover,115,"Comedy,Drama",10000000,62556228,2017,526
Do You Believe?,120,Drama,2300000,14304931,2015,522
Incredibles 2,118,"Action,Adventure,Animation",200000000,1242520711,2018,521
BlacKkKlansman,135,"Biography,Crime,Drama",15000000,93017335,2018,520
"Everything, Everything",96,"Drama,Romance",10000000,61603136,2017,516
Ride Along,99,"Action,Comedy,Crime",25000000,153733800,2014,515
The Hunger Games: Mockingjay - Part 1,123,"Action,Adventure,Sci-Fi",125000000,766575131,2014,513
Yeh Jawaani Hai Deewani,160,"Comedy,Drama,Musical",8300000,50827466,2013,512
Iron Man 3,130,"Action,Adventure,Sci-Fi",200000000,1215392272,2013,508
The Martian,144,"Adventure,Drama,Sci-Fi",108000000,655271443,2015,507
Horrible Bosses,98,"Comedy,Crime",35000000,212417601,2011,507
Gone Girl,149,"Drama,Mystery,Thriller",61000000,368567189,2014,504
Margin Call,107,"Drama,Thriller",3400000,20433227,2011,501
The Strangers: Prey at Night,85,Horror,5000000,29960051,2018,499
No Strings Attached,108,"Comedy,Romance",25000000,149228078,2011,497
The Possession,92,"Horror,Mystery,Thriller",14000000,82925064,2012,492
Nightcrawler,117,"Crime,Drama,Thriller",8500000,50334418,2014,492
Lee Daniels' The Butler,132,"Biography,Drama",30000000,177025498,2013,490
Safety Not Guaranteed,86,"Comedy,Drama,Romance",750000,4422318,2012,490
Hotel Transylvania 2,89,"Animation,Comedy,Family",80000000,469500298,2015,487
The Overnight,79,"Comedy,Mystery",200000,1165996,2015,483
The Skeleton Twins,93,"Comedy,Drama,Romance",1000000,5797192,2014,480
Limitless,105,"Mystery,Sci-Fi,Thriller",27000000,155564919,2011,476
Transformers: Dark of the Moon,154,"Action,Adventure,Sci-Fi",195000000,1123790543,2011,476
Evil Dead,91,"Fantasy,Horror,Thriller",17000000,97778356,2013,475
Birdman or (The Unexpected Virtue of Ignorance),119,"Comedy,Drama",18000000,103215094,2014,473
Blue Jasmine,98,Drama,18000000,102912961,2013,472
Sorry to Bother You,111,"Comedy,Fantasy,Sci-Fi",3200000,18285560,2018,471
Miracles from Heaven,109,"Biography,Drama,Family",13000000,73798736,2016,468
Dear John,108,"Drama,Romance,War",25000000,142033509,2010,468
Looper,113,"Action,Crime,Drama",30000000,170466405,2012,468
The Florida Project,111,Drama,2000000,11295324,2017,465
Brooklyn,117,"Drama,Romance",11000000,62076141,2015,464
Cinderella,113,Fantasy,95000000,534551353,2015,463
Cinderella,105,"Drama,Family,Fantasy",95000000,534551353,2015,463
The Social Network,120,"Biography,Drama",40000000,224922135,2010,462
Skyfall,143,"Action,Adventure,Thriller",200000000,1110526981,2012,455
Step Up 3D,107,"Drama,Music,Romance",30000000,165889117,2010,453
Upgrade,100,"Action,Sci-Fi,Thriller",3000000,16553285,2018,452
The Jungle Book,106,"Adventure,Drama,Family",175000000,962854547,2016,450
Wonder Woman,141,"Action,Adventure,Fantasy",150000000,821133378,2017,447
The Call,94,"Crime,Drama,Horror",12800000,69821476,2013,445
Jumping the Broom,112,"Comedy,Drama",7000000,38158601,2011,445
The Call,25,Documentary,12800000,69821476,2013,445
Martha Marcy May Marlene,102,"Drama,Mystery,Thriller",1000000,5438911,2011,444
